Name Surname HW1 HW2 HW3 HW4 HW5 HW6 HW7 Exam
Name22 Surname2 8.4514 7.35892 5.26708 4.15523 7.23209 5.823 2.5014 5.11451
Name23 Surname1 7.97212 4.00231 6.91765 9.23974 2.80938 5.14812 4.72545 2.23074
Name24 Surname2 9.83819 1.47378 6.50071 6.71531 3.36426 6.10849 3.91311 5.77941
Name25 Surname1 3.49953 4.42454 8.95297 2.46748 3.8552 1.90679 8.00954 4.21691
Name26 Surname2 3.55853 5.1789 3.7329 1.62116 3.74481 3.80764 5.22131 4.81147
Name27 Surname1 5.77717 7.39968 8.95893 5.84137 3.5261 8.29652 8.22957 9.92359
Name28 Surname2 3.70241 7.18792 9.17431 6.32751 6.72554 1.5117 9.647 1.22949
Name29 Surname1 1.15015 5.87554 7.78479 1.37412 9.49556 9.11517 3.37025 4.83523
Name30 Surname2 9.47096 4.05793 9.402 9.53062 4.28984 7.13046 5.10098 3.99753
Name31 Surname1 1.74541 2.23796 9.15991 5.5349 7.00808 3.85758 5.44864 7.05999
Name32 Surname2 3.19876 7.88598 2.28459 1.16798 6.45485 8.67786 2.03971 2.8669
Name33 Surname1 2.38239 7.31802 6.76967 6.28918 3.38569 3.6201 1.10328 6.33202
Name34 Surname2 7.85127 6.92545 3.16152 6.5498 5.87733 6.24349 3.47397 5.18548
Name35 Surname1 5.29826 8.90886 7.56822 4.35998 5.60415 4.36334 1.44839 8.83375
Name36 Surname2 2.48235 6.11162 2.07008 1.43882 7.60363 8.44801 4.78616 9.92551
Name37 Surname1 9.19154 5.62201 2.12972 7.71942 7.70416 4.41677 9.65619 1.4894
Name38 Surname2 1.75698 7.15027 2.43987 5.63602 7.30071 1.09457 5.99897 1.76821
Name39 Surname1 1.96243 9.51945 1.07717 9.96924 8.54595 2.9674 1.46479 3.74457
Name40 Surname2 4.76046 3.73437 7.15355 3.46725 6.4621 2.88319 6.9359 3.10872
Name41 Surname1 2.44816 2.55827 5.42957 8.85335 2.91519 2.85186 2.78887 6.99716
Name42 Surname2 6.28395 4.90625 3.21232 6.90929 3.14368 8.3744 4.73118 2.51835
Name43 Surname1 1.49062 1.32187 9.23054 7.18466 2.74051 9.36918 7.60479 3.74176
Name44 Surname2 1.72517 3.80227 2.99285 6.18337 4.63558 5.61088 4.17156 5.94438
Name45 Surname1 5.08969 4.48557 1.05131 8.19828 8.94095 3.18868 9.34716 2.64021
Name46 Surname2 9.7047 2.23029 7.57026 8.976 2.17934 2.34193 5.7503 6.52807
Name47 Surname1 6.55417 8.463 6.91465 5.43951 4.56304 1.26493 9.5178 8.84815
Name48 Surname2 2.5923 5.3141 2.32873 6.84585 7.75127 9.0769 3.71206 2.58112
Name49 Surname1 6.00958 5.4609 1.14791 8.78765 4.56673 5.27983 7.76527 3.2053
Name50 Surname2 8.3597 1.75907 9.88603 9.83239 5.33182 8.84605 6.15146 5.10404
Name51 Surname1 8.61293 3.56576 5.51888 6.57151 9.59592 2.21238 4.36071 8.55819
Name52 Surname2 5.70768 9.97839 7.68749 7.98533 7.8356 6.07124 3.76188 7.24364
Name53 Surname1 3.1168 6.33526 5.7555 4.48188 5.27615 9.10154 4.47687 8.25956
Name54 Surname2 7.79953 4.75573 4.21859 7.34151 8.98665 7.25432 7.57514 3.23477
Name55 Surname1 2.77528 6.40378 3.58267 3.50093 7.73738 1.9826 8.43485 4.86042
Name56 Surname2 2.26544 8.53251 7.5682 3.18726 2.40535 2.99431 7.74446 3.33746
Name57 Surname1 4.07952 2.80586 2.91974 6.14562 5.52445 2.36523 3.23475 9.90927
Name58 Surname2 1.08713 3.30418 9.27241 8.72813 9.97709 7.59044 2.16843 9.88397
Name59 Surname1 5.57182 5.35194 4.78252 2.37274 9.43621 3.41448 6.42693 1.58389
Name60 Surname2 3.56037 3.97049 4.82167 7.51997 7.09733 7.06071 1.72082 7.38528
Name61 Surname1 8.68598 1.37854 5.91903 5.45959 7.28162 2.74472 6.70139 9.69752
Name62 Surname2 1.8413 7.32826 3.98162 4.35121 6.79483 2.63383 5.36013 6.51762
Name63 Surname1 7.30241 6.67662 7.96507 4.40243 2.00108 8.36019 3.41044 7.09469
Name64 Surname2 3.81871 1.85617 2.67326 6.76475 3.98147 8.36631 9.88165 4.97267
Name65 Surname1 3.15849 8.85866 4.06319 7.33001 8.71385 3.32646 1.13538 6.18726
Name66 Surname2 3.04244 2.21118 6.99366 9.0856 8.15648 8.29261 7.68179 8.89353
Name67 Surname1 9.72755 2.53154 2.72826 3.99793 5.51453 7.07815 1.08896 8.5179
Name68 Surname2 2.00862 4.23129 9.67037 2.74262 6.22297 6.27994 1.75261 8.00405
Name69 Surname1 3.49895 3.13536 5.4678 4.68723 1.6751 4.91337 3.21295 4.2785
Name70 Surname2 8.94948 9.63395 2.02096 6.916 7.37096 8.28945 7.39008 2.67916
Name71 Surname1 1.37795 3.32846 4.41752 9.69233 9.08855 7.78599 9.84171 7.96071
Name72 Surname2 6.34313 9.71311 7.56615 4.17772 6.97218 6.71377 9.90925 1.27593
Name73 Surname1 9.04306 5.99037 2.13165 1.95661 5.34053 8.32366 9.6123 5.0966
Name74 Surname2 6.1819 4.76428 9.6215 9.7174 5.66636 6.84388 6.97966 3.83211
Name75 Surname1 9.63367 4.20378 2.21137 2.31926 9.51513 1.08424 2.00079 2.17438
Name76 Surname2 5.16469 9.6642 6.83198 4.01796 1.98741 1.5872 7.07692 3.47152
Name77 Surname1 3.65601 2.19576 9.54453 1.69277 6.52254 2.05047 5.96193 9.52553
Name78 Surname2 2.29868 8.59781 4.27517 2.56015 8.78292 7.94469 3.60966 5.19479
Name79 Surname1 2.93109 4.08531 6.7523 2.70138 3.42981 3.82333 1.9474 9.17658
Name80 Surname2 4.87314 4.32592 1.56957 3.91278 6.38915 2.71095 9.6825 8.32136
Name81 Surname1 2.19703 8.7605 1.18473 1.70875 6.47087 1.49171 3.1667 1.47327
Name82 Surname2 1.7867 6.35725 4.96411 8.88171 2.8084 6.88651 4.22136 9.80089
Name83 Surname1 1.70508 7.27908 5.3534 8.53241 6.97918 8.38995 8.95041 2.39076
Name84 Surname2 6.84374 9.03643 6.91034 4.79804 5.669 6.67153 9.85085 6.34793
Name85 Surname1 5.13527 3.9092 6.26981 6.14843 8.75448 5.55514 6.35924 9.02167
Name86 Surname2 6.93923 3.84486 4.45977 4.71603 3.71144 1.52071 7.23244 8.38099
Name87 Surname1 4.02898 5.80462 7.36568 5.31639 9.17818 2.47214 5.08112 2.45594
Name88 Surname2 3.27322 1.81637 5.00677 1.3931 2.63039 4.50695 8.01557 3.34621
Name89 Surname1 9.56848 8.65773 5.1772 1.60464 8.37546 3.2513 4.14361 5.43454
Name90 Surname2 6.50156 4.47794 9.85889 1.70202 3.32263 1.02581 5.25015 2.60141
Name91 Surname1 1.23676 8.93984 2.99907 4.61365 7.41493 1.1187 3.63877 1.92287
Name92 Surname2 8.996 9.57343 1.89624 4.50713 6.80996 7.66052 2.5663 5.15275
Name93 Surname1 8.2399 1.65311 7.86485 3.18875 4.84545 4.78301 2.92129 3.22818
Name94 Surname2 6.50588 8.06908 2.28857 1.02915 7.38343 5.36708 3.63048 2.67775
Name95 Surname1 9.87702 3.69635 5.20793 6.79946 5.51338 3.46174 9.18187 4.59297
Name96 Surname2 3.38168 2.05104 9.2853 1.50335 9.95026 6.27871 8.88825 5.84603
Name97 Surname1 6.40698 6.79159 1.89525 4.61402 3.3662 7.14667 6.55399 2.80813
Name98 Surname2 1.27303 1.5647 6.28701 8.47369 4.53224 4.31627 6.59768 8.8076
Name99 Surname1 9.45141 1.87095 7.29469 9.85549 7.91076 9.21581 5.19481 8.51322
Name100 Surname2 6.96898 9.36449 8.85888 7.96592 9.0322 1.13795 7.28894 3.03191
Name101 Surname1 3.36911 6.95721 2.43211 6.93723 3.14924 7.93178 7.89839 8.47861
Name102 Surname2 7.49117 6.45552 3.91748 2.1956 2.0796 1.64518 5.84409 3.97799
Name103 Surname1 4.8307 5.75354 4.57707 1.09986 4.43211 9.16599 9.69864 4.75792
Name104 Surname2 4.35881 4.47629 8.41411 7.82467 1.12701 9.02329 6.4843 3.39956
Name105 Surname1 3.24367 7.9111 7.80435 9.25747 4.37385 8.17553 1.68736 6.80623
Name106 Surname2 8.49294 4.99082 4.83899 2.70195 1.41737 5.49838 9.42178 9.1378
Name107 Surname1 1.0671 1.61647 9.0184 4.7676 2.64881 4.94598 9.04178 7.62683
Name108 Surname2 4.17954 6.03189 5.87825 2.84474 3.78329 4.69058 7.83659 9.30157
Name109 Surname1 6.50247 2.17506 8.47653 6.28938 3.69242 3.60234 5.15613 5.78036
Name110 Surname2 1.32929 4.30313 4.48693 3.9989 3.48726 2.47041 1.99219 9.07032
Name111 Surname1 1.83691 3.72433 4.93541 4.11104 2.06533 6.11699 8.73314 3.84424
Name112 Surname2 4.3899 3.74711 4.91802 6.07361 2.77765 4.5353 3.18657 8.08157
Name113 Surname1 6.38261 3.71466 9.73033 6.82715 4.49094 5.97353 3.62387 2.52264
Name114 Surname2 3.45123 1.27279 4.9551 8.59322 4.55547 1.29936 3.09329 6.2914
Name115 Surname1 9.4351 3.59322 9.67524 1.85368 1.30639 4.49483 9.98259 6.26478
Name116 Surname2 7.4186 2.70572 7.09695 1.74601 9.52056 5.23295 2.95475 9.13266
Name117 Surname1 9.99303 2.56865 2.75014 4.57689 7.81021 1.46292 6.1543 6.32505
Name118 Surname2 2.52006 9.81852 4.03494 5.31542 3.65501 9.84287 7.03298 7.55534
Name119 Surname1 7.90828 6.70136 2.71255 8.29468 4.4636 9.32516 6.04671 2.32959
Name120 Surname2 7.864 4.26488 7.16042 5.81627 3.87201 3.81021 8.06748 6.20901
Name121 Surname1 5.55013 2.95129 2.69198 5.7521 6.36069 7.26971 2.96698 7.57874
Name122 Surname2 9.29527 6.11856 6.41415 2.13708 5.43794 7.11108 7.76684 2.3244
Name123 Surname1 4.33987 9.38031 8.58175 7.63813 8.73597 3.70599 8.66744 5.97595
Name124 Surname2 9.21043 7.72363 3.78557 3.57061 2.22261 9.77634 7.05929 7.33902
Name125 Surname1 2.40388 2.02875 5.23279 8.11869 4.07174 1.08702 3.05542 9.7808
Name126 Surname2 3.79061 7.84161 7.6506 3.13928 9.86831 1.90508 6.84217 6.47583
Name127 Surname1 2.33461 6.32777 4.00747 7.65096 4.08512 2.61522 2.5373 8.81051
Name128 Surname2 7.96251 3.507 3.35722 8.78587 3.47342 1.30451 9.80393 1.23977
Name129 Surname1 8.38375 5.18051 7.65834 5.00781 5.21699 3.55239 9.2851 4.5007
Name130 Surname2 8.16077 6.00495 2.54689 4.65672 5.84463 3.64324 3.56721 5.74466
Name131 Surname1 7.30419 7.1568 9.64448 9.37364 4.19269 8.34047 4.14382 4.77247
Name132 Surname2 8.40529 3.90111 6.74412 7.45181 5.60016 6.01976 2.73282 3.42737
Name133 Surname1 7.9561 1.2641 9.80908 1.62624 2.6501 4.4467 8.57822 2.14993
Name134 Surname2 1.99731 6.82503 2.90064 8.53005 2.2908 3.02153 1.11952 8.48574
Name135 Surname1 6.5082 8.92337 4.37148 5.24803 5.26278 3.01644 2.9715 2.76893
Name136 Surname2 2.56072 5.72468 3.68434 5.74033 3.24522 7.02861 6.11661 8.94027
Name137 Surname1 8.58443 5.31975 8.34902 8.786 1.45139 6.04861 6.82178 5.03484
Name138 Surname2 7.19976 7.07655 4.23744 1.28034 2.54297 1.50894 1.04681 4.87293
Name139 Surname1 2.78098 1.97874 5.23229 8.89661 4.97215 3.15896 2.59126 5.60017
Name140 Surname2 2.37865 6.21717 5.68212 1.37527 8.96422 3.48168 9.84275 5.23421
Name141 Surname1 7.01664 3.3308 5.10645 5.30578 2.54589 4.19338 6.02893 3.95344
Name142 Surname2 6.73186 1.14951 5.59744 1.61786 2.41806 6.73748 1.23361 3.21603
Name143 Surname1 3.08027 9.37747 9.50254 3.80056 7.57933 1.84093 9.68238 7.93771
Name144 Surname2 4.21408 6.27358 2.18078 3.41099 1.85493 8.25035 8.20619 7.22844
Name145 Surname1 7.08977 7.61643 7.21788 4.00876 5.67936 6.78773 1.60005 3.91254
Name146 Surname2 3.3621 6.35563 8.65804 6.05752 8.99071 8.854 3.80232 7.31459
Name147 Surname1 5.26135 4.47478 7.00762 9.45699 4.91587 4.08179 4.24642 1.30065
Name148 Surname2 4.17227 2.82606 4.31713 4.7464 8.79101 4.13385 2.78734 5.5738
Name149 Surname1 5.38603 3.45683 2.55761 7.98711 6.03606 5.48338 6.52741 1.85985
Name150 Surname2 8.85296 1.98403 1.80788 7.37589 5.61053 4.21214 4.05674 5.59041
Name151 Surname1 4.49372 2.04092 7.68204 3.82576 6.70033 8.64725 5.58717 5.46497
Name152 Surname2 8.04483 8.28253 5.90262 5.10692 4.86596 8.59875 4.45597 2.97951
Name153 Surname1 8.56186 2.04235 3.89116 6.92539 6.02891 1.1222 1.75891 3.01149
Name154 Surname2 4.20358 8.34181 5.82126 9.30192 7.49565 9.88358 2.9887 2.51297
Name155 Surname1 3.48237 6.27204 1.42391 3.42951 4.91829 5.2787 3.16033 4.12657
Name156 Surname2 7.34212 1.20754 8.75194 1.77088 3.22742 3.60028 2.45584 8.58523
Name157 Surname1 3.11941 9.66359 5.29311 4.63946 8.89842 4.88528 6.63473 6.1479
Name158 Surname2 3.83212 7.69468 5.01149 2.18554 5.64815 7.97603 8.62613 5.07068
Name159 Surname1 4.77187 2.2731 3.38867 6.57252 8.923 2.81333 5.7138 5.829
Name160 Surname2 8.57788 9.16299 2.39515 6.30354 2.49177 3.38652 1.31293 4.16557
Name161 Surname1 6.78794 1.61926 6.53686 7.84697 3.31715 4.39201 1.74366 4.69374
Name162 Surname2 1.19615 2.77517 1.21586 7.00618 3.205 9.17641 9.43525 4.80038
Name163 Surname1 3.01844 8.72951 2.92666 3.21173 6.15605 8.93584 1.12277 4.5383
Name164 Surname2 8.14807 9.68753 8.44626 2.95911 8.37027 1.04268 6.77725 2.33809
Name165 Surname1 2.00589 7.96458 3.09586 4.31252 2.50923 3.24265 7.5964 1.12451
Name166 Surname2 8.18464 2.83871 9.03536 4.93711 7.79222 5.17085 7.87123 2.87237
Name167 Surname1 9.98553 5.24413 6.12284 8.82657 5.9914 2.40561 5.48934 9.64723
Name168 Surname2 4.60509 5.45575 7.31889 6.32031 8.20686 2.29171 6.00334 1.9082
Name169 Surname1 8.12219 7.16859 1.67222 6.64833 7.08888 1.16446 6.08201 5.68278
Name170 Surname2 1.77643 4.22736 4.92532 1.58864 1.5549 3.66384 7.71429 8.18732
Name171 Surname1 3.10952 3.7402 6.22246 1.76495 1.53959 7.66142 8.47728 9.0227
Name172 Surname2 6.44367 5.98127 1.46585 4.79647 2.71759 4.19158 4.81339 2.44199
Name173 Surname1 7.48598 6.75197 4.74623 6.70923 4.87969 8.44454 8.31108 3.02205
Name174 Surname2 4.28942 6.10698 5.17298 7.9709 1.88199 8.059 2.0266 2.29353
Name175 Surname1 5.49099 3.85676 8.22881 9.88033 6.55264 6.80813 8.96617 9.90803
Name176 Surname2 2.17885 3.72005 9.63933 6.54288 2.78352 7.22752 9.65342 3.59894
Name177 Surname1 5.07306 8.29905 3.76766 8.89509 6.12241 9.4615 5.51699 4.56248
Name178 Surname2 4.16309 6.80633 5.72423 6.24572 2.07539 6.09053 6.70852 7.05109
Name179 Surname1 5.89283 6.25628 9.56206 3.66495 2.10226 2.36385 1.84703 3.88256
Name180 Surname2 8.4619 1.87561 4.17632 5.28148 8.12094 6.47832 1.64053 9.51113
Name181 Surname1 5.36559 3.92934 5.28656 8.69901 9.23459 8.39195 8.65958 6.50218
Name182 Surname2 9.845 9.03612 2.34662 9.29991 2.37297 4.55856 3.26305 8.39786
Name183 Surname1 1.14525 6.94507 9.69378 9.00214 1.54514 6.25517 7.85992 3.75792
Name184 Surname2 6.12754 8.41661 1.09339 2.16027 3.31019 9.36455 2.45066 9.74932
Name185 Surname1 4.54324 5.58506 3.91697 1.49628 8.94849 2.09475 5.03696 9.47715
Name186 Surname2 7.8672 2.59951 4.03498 2.51836 3.91043 6.99469 3.69678 5.84729
Name187 Surname1 8.24257 6.50282 7.92691 5.93235 4.2923 8.5681 4.38314 5.90014
Name188 Surname2 4.73257 7.88635 5.26088 1.89496 1.41816 5.98339 7.36097 2.45918
Name189 Surname1 1.53994 8.1353 4.96332 6.54897 8.43858 4.23389 3.15729 4.46562
Name190 Surname2 7.80247 1.69721 1.52541 7.55183 1.21597 3.89545 4.14584 9.2529
Name191 Surname1 9.70306 3.07227 5.35581 9.57478 3.38393 2.77255 1.89053 1.29732
Name192 Surname2 5.19568 9.77407 8.90601 3.02698 8.31633 3.19872 1.03501 7.04327
Name193 Surname1 4.46256 3.90211 7.4481 1.22967 2.71469 2.03461 2.32879 1.59034
Name194 Surname2 2.07122 4.48563 6.70078 6.9214 9.55549 4.73708 3.45107 5.77427
Name195 Surname1 9.63961 8.9454 4.02126 7.94101 8.18877 5.49189 1.73853 9.08878
Name196 Surname2 5.35363 4.12379 4.65854 5.40167 3.43863 7.55945 9.47041 6.03945
Name197 Surname1 4.51243 4.30996 5.2215 6.92409 9.4893 8.02035 9.41577 4.911
Name198 Surname2 8.01552 7.19189 5.40912 2.50351 1.2184 2.23891 5.24212 2.83978
Name199 Surname1 3.57768 7.40968 9.50806 2.2655 8.94477 4.22164 5.00167 4.03215
Name200 Surname2 6.71878 9.14792 8.98156 8.18966 9.28137 3.92954 8.69952 9.07695
Name201 Surname1 4.88468 2.30207 6.15977 1.33219 1.75921 2.44795 9.66318 9.13827
Name202 Surname2 5.75297 4.17253 6.2365 8.18971 8.4482 9.52307 4.26145 7.88594
Name203 Surname1 3.46896 9.35886 5.57541 4.39324 4.76473 5.666 6.65936 6.25667
Name204 Surname2 1.71489 2.34123 9.51308 1.28215 4.06833 6.74104 3.39323 7.67059
Name205 Surname1 9.25266 9.90674 2.7026 3.96609 6.03739 8.71827 1.13965 1.1273
Name206 Surname2 9.38301 6.88371 6.56407 6.95355 6.35213 8.55383 9.79824 2.11427
Name207 Surname1 8.72668 6.1194 7.62448 4.28605 2.40915 9.5637 1.68222 4.53516
Name208 Surname2 5.60623 7.96448 7.87371 9.51076 8.14188 3.87948 5.9926 8.3849
Name209 Surname1 8.32464 1.73082 5.72184 8.73989 5.24082 1.86218 1.70093 1.25501
Name210 Surname2 4.27625 4.035 1.43353 2.29661 6.63808 4.74088 2.64304 8.2404
Name211 Surname1 9.39895 7.77218 6.8423 4.74158 1.28053 8.51674 2.37553 7.82814
Name212 Surname2 4.90591 4.3108 5.33536 7.04975 4.96561 2.41911 3.33458 1.07323
Name213 Surname1 5.22186 6.07528 3.02773 6.58309 1.82066 7.78678 8.89581 9.94661
Name214 Surname2 8.62554 3.69042 3.56445 2.67779 4.66554 1.50123 2.94671 3.23525
Name215 Surname1 4.66932 8.9066 4.26218 1.51167 1.46291 4.69312 6.17753 3.46558
Name216 Surname2 3.8982 2.86325 9.46749 5.38109 3.1648 1.90445 8.39136 6.19995
Name217 Surname1 2.70542 5.30731 2.80298 3.18033 4.19603 1.22969 3.14394 4.21539
Name218 Surname2 9.69778 2.95696 5.77143 7.01479 8.86623 9.38534 8.29494 9.13814
Name219 Surname1 7.67703 9.65701 2.32523 1.36652 8.94537 9.57209 2.732 1.68778
Name220 Surname2 7.86527 6.73551 9.52668 3.0694 5.81367 4.23262 3.56145 5.48114
Name221 Surname1 8.95899 6.4832 7.18442 4.87094 1.99623 1.99058 5.71275 3.2086
Name222 Surname2 9.8219 3.74228 8.48128 8.14842 3.55611 2.41924 5.77744 3.83915
Name223 Surname1 9.44741 1.82716 6.97941 9.0376 4.76732 8.3419 4.63202 1.65594
Name224 Surname2 6.69413 5.31822 1.68101 4.64596 5.79411 4.31287 1.108 4.36598
Name225 Surname1 8.00372 7.9506 6.3157 1.67541 8.88288 6.22266 2.41512 9.80665
Name226 Surname2 9.06131 8.58459 2.63935 9.9545 7.68559 5.85535 1.13992 2.8917
Name227 Surname1 6.33449 1.80158 1.2177 3.73622 7.36364 4.25575 8.68682 7.69901
Name228 Surname2 8.70016 1.41809 1.94421 8.61529 3.59219 8.18384 2.43422 5.30036
Name229 Surname1 5.55542 8.03478 9.28536 4.90864 8.50589 7.52394 9.93528 2.69946
Name230 Surname2 6.41548 8.68429 8.20174 7.84728 4.68607 6.09929 1.33325 1.34482
Name231 Surname1 1.873 7.22986 8.6852 6.44206 9.02273 8.03825 8.58464 1.70941
Name232 Surname2 4.92471 9.47951 9.58936 7.68826 9.96188 6.01103 9.91091 6.74462
Name233 Surname1 1.15525 9.38997 1.42585 2.27334 1.57393 3.01907 7.59218 3.45282
Name234 Surname2 3.11875 3.172 9.36819 1.63188 4.47859 3.16626 8.23681 8.85498
Name235 Surname1 8.86883 3.02574 9.16198 7.6834 3.26391 2.49257 9.47415 9.71574
Name236 Surname2 4.8581 2.51703 9.44026 6.69112 8.26522 5.26226 4.86274 3.58812
Name237 Surname1 7.51413 2.74789 1.36755 7.963 9.29895 4.61847 8.19966 8.23787
Name238 Surname2 2.7325 2.92252 7.09042 5.82585 6.62868 1.67793 4.23802 5.25662
Name239 Surname1 6.30275 9.2864 7.03804 1.781 9.79551 5.612 7.61775 6.22866
Name240 Surname2 7.77074 7.35059 2.93437 4.54497 5.58062 8.81926 3.00132 8.52641
Name241 Surname1 2.08953 3.04934 1.44279 5.71984 1.51639 3.69115 4.69494 5.02936
Name242 Surname2 7.75823 7.3981 7.77446 1.02027 4.67965 3.15352 7.31911 8.60803
Name243 Surname1 5.47462 6.70115 1.03984 4.54011 7.38328 8.93686 4.30169 5.49639
Name244 Surname2 6.2705 5.90044 5.57394 8.63003 9.33905 5.57448 7.44052 8.74506
Name245 Surname1 8.61306 6.99984 7.01171 9.12633 9.44777 6.5867 7.25529 1.01474
Name246 Surname2 5.04654 3.2152 4.1725 8.80726 6.18965 9.16257 1.97459 6.4241
Name247 Surname1 4.81778 3.12704 6.04386 9.82646 1.0746 9.31043 1.84878 3.04647
Name248 Surname2 2.41597 3.41241 4.67389 1.35919 3.38216 8.45736 3.32515 8.79439
Name249 Surname1 6.46621 2.42731 2.89183 9.27861 7.99507 4.52689 2.30863 6.36501
Name250 Surname2 2.81757 5.63289 2.35788 9.48301 5.99306 9.44613 4.32879 6.06572
Name251 Surname1 1.37853 6.72564 2.43733 5.74097 7.39088 2.16927 3.22632 6.71149
Name252 Surname2 1.13031 2.37534 3.81398 6.99591 8.80266 3.26743 4.07322 8.50993
Name253 Surname1 2.59439 7.44931 4.00833 6.05042 1.07199 3.85392 8.76354 8.09666
Name254 Surname2 5.76034 5.88484 3.62097 7.68026 5.39759 3.59244 8.55039 9.0913
Name255 Surname1 2.29645 7.47328 4.9162 1.10775 7.63244 5.11327 1.08158 6.05691
Name256 Surname2 6.75904 3.46955 6.35775 9.36782 4.56231 5.66547 2.43445 1.00617
Name257 Surname1 6.67927 7.61348 3.72378 3.15077 9.39506 5.76633 9.43426 3.83032
Name258 Surname2 9.12611 7.10921 3.20447 8.87065 5.86409 4.69845 8.50011 4.02344
Name259 Surname1 9.70712 6.42896 3.78338 1.42244 5.26776 7.54293 3.65145 8.68933
Name260 Surname2 8.70415 7.47744 7.65856 4.70447 8.96802 4.78097 5.32837 2.76051
Name261 Surname1 3.31742 8.14276 7.95897 1.63049 1.19225 4.06019 1.91171 4.72863
Name262 Surname2 4.6203 4.13806 1.10768 4.00028 8.88586 4.3888 8.89858 4.70425
Name263 Surname1 3.88376 4.95533 2.03782 7.51833 8.05318 4.4641 7.55259 1.94793
Name264 Surname2 3.96875 2.501 7.85091 9.49596 9.79579 4.34974 7.16867 5.97675
Name265 Surname1 3.23981 2.43124 5.54878 9.71882 9.14744 5.99783 1.49553 3.41741
Name266 Surname2 9.13172 8.61399 6.34485 7.36358 7.20951 5.33939 7.97075 6.3445
Name267 Surname1 4.5474 1.98072 4.8538 4.65794 7.20988 8.86697 3.50075 8.57578
Name268 Surname2 4.57808 6.00765 1.22559 5.41847 9.96865 9.34866 8.1707 6.50727
Name269 Surname1 5.0827 8.36577 1.54299 7.01554 5.89007 4.62555 7.88274 7.72938
Name270 Surname2 4.01609 4.58928 9.96379 6.60792 7.64874 9.7692 3.61717 9.59133
Name271 Surname1 7.80997 7.62931 3.70344 2.13124 3.27809 3.03994 4.70235 2.628
Name272 Surname2 7.75865 6.09874 2.47958 6.79595 4.17187 5.85159 3.93342 5.18617
Name273 Surname1 6.44798 6.45473 1.86291 3.87801 2.86368 6.69254 9.89501 7.45888
Name274 Surname2 1.02936 5.83405 3.18864 4.19553 7.03245 4.25851 1.70032 3.8389
Name275 Surname1 7.49089 4.37889 1.31586 9.66969 7.19864 8.22075 1.75046 6.01465
Name276 Surname2 1.99994 6.37718 1.64081 1.44922 6.67893 2.65965 8.80487 9.88866
Name277 Surname1 9.06921 7.32699 4.34975 2.72239 6.68845 2.98736 6.24844 9.21228
Name278 Surname2 6.87659 2.6467 1.23466 6.56713 1.68123 5.97971 7.92944 1.56304
Name279 Surname1 9.34492 1.8432 9.356 9.58199 7.18584 7.46091 8.92367 4.30864
Name280 Surname2 3.53534 7.83095 9.37305 5.98446 6.14792 8.00999 2.753 9.44697
Name281 Surname1 6.90351 7.63076 6.23073 5.43187 6.37209 5.57067 5.55146 4.19291
Name282 Surname2 7.42262 9.98864 3.79789 5.96487 1.07283 8.44792 4.00685 2.64039
Name283 Surname1 8.9309 5.76765 2.41497 6.70624 9.47699 5.55181 1.53769 7.4975
Name284 Surname2 9.71511 9.68149 3.34606 1.91431 3.3994 1.87839 5.02791 5.90051
